Fri Dec 31 15:51:21 2021, 00:14:34, Recent State, 48, 19501, 11490, 0, 0, 38.84, 19.395, 1, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:22 2021, 00:14:35, Recent State, 48, 19501, 11490, 0, 0, 38.84, 19.395, 1, 17.93, 1, 17.473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:23 2021, 00:14:36, Recent State, 48, 19501, 11490, 0, 0, 38.84, 19.396, 1, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:25 2021, 00:14:37, Recent State, 48, 19501, 11490, 0, 0, 38.84, 19.396, 1, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:26 2021, 00:14:39, Recent State, 48, 19501, 11490, 0, 0, 38.84, 19.396, 1, 17.93, 1, 17.473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:27 2021, 00:14:40, Recent State, 48, 19501, 11490, 0, 0, 38.83, 19.395, 1, 17.93, 1, 17.473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:28 2021, 00:14:41, Recent State, 48, 19501, 11490, 0, 0, 38.84, 19.395, 1, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:29 2021, 00:14:42, Recent State, 48, 19501, 11490, 0, 0, 38.84, 19.395, 1, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:30 2021, 00:14:43, Recent State, 48, 19501, 11490, 0, 0, 38.84, 19.396, 1, 17.93, 1, 17.475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:32 2021, 00:14:44, Recent State, 48, 19501, 11490, 0, 0, 38.84, 19.395, 1, 17.93, 1, 17.473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
