Thu Dec 30 20:39:45 2021, 130219, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.18, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:46 2021, 131469, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.18, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:47 2021, 132659, Recent State, 71, 0, 0, 0, 1, 35.62, 14.922, 1, 236.18, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:48 2021, 133849, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.18, 0, 11.478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:50 2021, 135039, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.17, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:51 2021, 136319, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.17, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:52 2021, 137509, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.17, 0, 11.478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:53 2021, 138699, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.18, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:55 2021, 139959, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.17, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:56 2021, 141149, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.18, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:57 2021, 142329, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.17, 0, 11.478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:58 2021, 143519, Recent State, 71, 0, 0, 0, 1, 35.63, 14.922, 1, 236.17, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:59 2021, 144709, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.17, 0, 11.478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:40:00 2021, 145899, Recent State, 71, 0, 0, 0, 1, 35.63, 14.922, 1, 236.18, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:40:02 2021, 147089, Recent State, 71, 0, 0, 0, 1, 35.62, 14.921, 1, 236.18, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:40:03 2021, 148271, Recent State, 71, 0, 0, 0, 1, 35.63, 14.922, 1, 236.18, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:40:04 2021, 149559, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.18, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:40:05 2021, 150769, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.17, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:40:07 2021, 151959, Recent State, 71, 0, 0, 0, 1, 35.63, 14.922, 1, 236.18, 0, 11.478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:40:08 2021, 153149, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.17, 0, 11.478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:40:09 2021, 154339, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.18, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:40:10 2021, 155529, Recent State, 71, 0, 0, 0, 1, 35.62, 14.922, 1, 236.17, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:40:11 2021, 156749, Recent State, 71, 0, 0, 0, 1, 35.63, 14.922, 1, 236.17, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:40:13 2021, 157999, Recent State, 71, 0, 0, 0, 1, 35.63, 14.922, 1, 236.17, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:40:14 2021, 159189, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.17, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:40:15 2021, 160379, Recent State, 71, 0, 0, 0, 1, 35.63, 14.922, 1, 236.18, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:40:16 2021, 161569, Recent State, 71, 0, 0, 0, 1, 35.63, 14.922, 1, 236.18, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
